	emotions
46	[1, 1, 2, 3, 4, 1, 2, 1, 2, 2, 6, 2, 3, 2, 3, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2, 6, 2, 1, 1, 1, 1, 1, 6, 1, 1, 2, 1, 3, 6, 1, 2, 1, 1, 1, 2, 1, 4, 1, 6, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 6, 3, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3, 1, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1]
47	[6, 1, 1, 3, 1, 6, 2, 2, 2, 6, 2, 6, 2, 2, 2, 2, 2, 1, 2, 2, 1, 4, 2, 6, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 6, 2, 2, 1, 6, 6, 2, 1, 2, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 2, 2, 2, 1, 1, 3, 4, 2, 6, 2, 2, 1, 1, 2, 1, 6, 2, 1, 2, 4, 3, 6, 1, 1, 1, 2, 1, 6, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 2, 1, 6, 1]
48	[1, 5, 4, 1, 4, 2, 2, 2, 2, 2, 6, 1, 1, 2, 3, 2, 3, 4, 2, 6, 6, 1, 2, 1, 1, 2, 1, 1, 3, 1, 3, 1, 1, 1, 1, 5, 6, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 6, 2, 4, 3, 6, 1, 1, 6, 1, 6, 2, 1, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 2, 2, 3, 6, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 3, 6]
49	[6, 6, 5, 6, 6, 6, 6, 1, 6, 2, 2, 6, 6, 6, 3, 3, 6, 6, 6, 2, 6, 2, 6, 3, 5, 1, 4, 2, 6, 6, 6, 6, 3, 3, 3, 2, 1, 4, 2, 6, 6, 2, 3, 6, 2, 6, 1, 6, 6, 6, 6, 6, 2, 1, 2, 2, 6, 6, 2, 3, 3, 3, 3, 6, 2, 6, 3, 3, 1, 3, 2, 2, 6, 2, 3, 6, 5, 2, 6, 3, 2, 2, 5, 1, 1, 1, 6, 4, 5, 2, 2, 2, 3, 6, 2, 2, 3, 1, 6, 6]
50	[6, 3, 1, 6, 3, 2, 3, 2, 2, 6, 6, 5, 6, 1, 6, 6, 3, 1, 6, 2, 6, 6, 1, 6, 6, 2, 2, 2, 2, 2, 3, 1, 5, 6, 2, 6, 2, 1, 6, 1, 2, 2, 6, 1, 3, 6, 5, 6, 2, 4, 1, 6, 3, 3, 3, 4, 1, 4, 2, 1, 3, 3, 2, 1, 2, 1, 1, 3, 6, 6, 2, 2, 3, 2, 1, 1, 1, 6, 3, 4, 2, 2, 2, 1, 1, 3, 1, 1, 6, 2, 1, 1, 6, 1, 1, 6, 6, 6, 2, 2]
51	[6, 1, 2, 2, 2, 2, 1, 2, 2, 2, 6, 4, 6, 2, 2, 1, 3, 2, 3, 2, 6, 1, 6, 6, 2, 2, 2, 2, 1, 2, 1, 6, 2, 6, 2, 6, 1, 6, 2, 6, 6, 6, 6, 6, 6, 6, 2, 5, 2, 2, 6, 3, 2, 2, 3, 2, 2, 3, 3, 3, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 6, 2, 3, 2, 6, 2, 2, 6, 2, 3, 2, 2, 6, 6, 2, 2, 4, 5, 3, 1, 5, 2, 1, 2, 6, 3, 3]
52	[1, 6, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 1, 6, 2, 6, 6, 3, 2, 6, 1, 5, 4, 2, 1, 1, 1, 2, 2, 3, 2, 2, 6, 6, 2, 2, 2, 4, 6, 6, 2, 2, 5, 1, 1, 1, 1, 5, 1, 4, 1, 1, 2, 1, 1, 3, 1, 6, 6, 2, 4, 2, 1, 1, 2, 6, 6, 2, 1, 6, 2, 2, 1, 6, 2, 1, 1, 1, 1, 1, 2, 6, 4, 1, 2, 6, 2, 3, 3, 1, 2, 3, 2, 6, 3, 2, 2, 2, 2, 2]
53	[6, 6, 4, 1, 6, 6, 2, 5, 2, 2, 2, 2, 6, 1, 2, 3, 2, 2, 2, 6, 4, 6, 6, 3, 6, 6, 6, 1, 6, 1, 6, 2, 6, 6, 6, 3, 2, 6, 6, 2, 6, 6, 2, 6, 6, 2, 6, 1, 1, 1, 6, 6, 3, 3, 2, 3, 6, 1, 6, 6, 3, 2, 6, 5, 6, 6, 2, 6, 1, 3, 5, 6, 2, 4, 2, 3, 5, 6, 3, 6, 2, 2, 2, 3, 2, 2, 1, 6, 2, 1, 2, 2, 6, 6, 3, 6, 1, 2, 6, 2]
54	[1, 1, 1, 1, 1, 4, 2, 1, 2, 1, 2, 2, 6, 6, 1, 2, 1, 1, 4, 1, 4, 1, 1, 1, 3, 1, 1, 3, 2, 1, 1, 1, 2, 4, 1, 1, 1, 1, 1, 6, 4, 1, 2, 2, 1, 4, 1, 2, 2, 3, 1, 2, 6, 1, 4, 6, 4, 4, 1, 2, 2, 1, 2, 6, 1, 2, 1, 1, 2, 3, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 4, 1, 1, 6, 3, 1, 3, 3, 2]
55	[1, 2, 1, 3, 6, 2, 6, 2, 6, 4, 1, 2, 2, 2, 2, 2, 6, 1, 6, 6, 6, 6, 2, 6, 6, 2, 2, 2, 6, 6, 6, 2, 6, 1, 1, 6, 6, 2, 2, 1, 2, 2, 1, 6, 4, 2, 3, 3, 1, 2, 2, 2, 6, 6, 6, 6, 6, 2, 2, 2, 2, 1, 3, 1, 6, 2, 6, 6, 2, 2, 2, 2, 2, 2, 6, 6, 3, 2, 1, 1, 2, 3, 3, 2, 2, 6, 3, 2, 3, 2, 2, 1, 2, 6, 3, 2, 3, 2, 3, 3]
56	[6, 2, 2, 6, 6, 6, 6, 6, 1, 6, 6, 4, 5, 6, 6, 6, 6, 2, 2, 3, 5, 1, 2, 2, 4, 6, 1, 6, 6, 6, 6, 6, 2, 2, 3, 6, 5, 3, 6, 6, 5, 3, 2, 2, 5, 3, 1, 3, 3, 1, 3, 6, 6, 6, 2, 6, 6, 6, 6, 2, 6, 3, 1, 6, 6, 2, 2, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 3, 6, 6, 6, 5, 2, 1, 2, 1, 6, 6, 6, 2, 6, 6, 1, 2, 6, 1, 1, 2, 6]
57	[5, 6, 2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 6, 6, 6, 5, 2, 1, 1, 1, 3, 6, 1, 6, 2, 1, 4, 4, 1, 2, 3, 4, 1, 2, 1, 2, 1, 5, 1, 6, 2, 6, 6, 2, 2, 2, 3, 1, 2, 1, 6, 3, 6, 2, 4, 2, 4, 1, 3, 2, 3, 6, 2, 6, 1, 6, 2, 1, 6, 2, 6, 1, 6, 2, 2, 2, 2, 1, 1, 2, 1, 1, 6, 1, 1, 2, 1, 1, 3, 6, 6, 1, 1, 1, 2, 6]
58	[6, 3, 3, 3, 1, 2, 2, 3, 2, 2, 2, 2, 6, 2, 3, 2, 6, 2, 2, 1, 2, 2, 2, 6, 2, 6, 4, 2, 2, 4, 2, 3, 2, 2, 1, 6, 4, 3, 1, 2, 1, 3, 2, 2, 1, 2, 2, 3, 5, 6, 6, 2, 6, 2, 6, 1, 2, 6, 6, 2, 1, 2, 2, 6, 6, 1, 2, 6, 3, 2, 3, 2, 1, 2, 2, 2, 2, 5, 1, 6, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 4, 6, 2, 6, 2, 2, 2, 3, 6]
59	[6, 6, 6, 2, 6, 5, 6, 3, 5, 6, 6, 6, 2, 6, 2, 1, 6, 2, 3, 6, 6, 3, 6, 3, 2, 2, 2, 4, 2, 6, 2, 1, 2, 2, 6, 2, 6, 3, 2, 6, 2, 6, 1, 6, 6, 6, 6, 4, 1, 1, 6, 1, 2, 3, 6, 2, 6, 2, 1, 1, 6, 5, 2, 2, 3, 3, 1, 3, 6, 3, 6, 1, 1, 6, 6, 2, 6, 3, 4, 3, 1, 1, 2, 2, 3, 3, 3, 1, 6, 5, 5, 6, 1, 1, 1, 1, 6, 6, 6, 1]
60	[1, 1, 1, 2, 1, 2, 1, 2, 5, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 4, 1, 2, 3, 6, 2, 2, 6, 2, 2, 1, 3, 2, 6, 2, 2, 2, 1, 3, 1, 1, 2, 3, 6, 2, 2, 2, 2, 2, 3, 3, 2, 6, 2, 3, 2, 6, 2, 3, 1, 2, 2, 2, 2, 6, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 1, 3, 1, 6, 2, 2, 2, 1, 3, 2, 2, 2, 1, 2, 6, 1, 1, 6, 3, 2, 2, 2]
61	[2, 2, 2, 3, 2, 2, 6, 6, 6, 6, 3, 4, 1, 6, 5, 2, 2, 6, 2, 2, 1, 2, 3, 6, 3, 2, 1, 6, 6, 6, 6, 6, 6, 4, 6, 2, 3, 2, 6, 6, 6, 1, 6, 2, 3, 3, 6, 3, 3, 6, 6, 2, 2, 6, 6, 6, 1, 6, 6, 6, 6, 6, 2, 2, 2, 3, 3, 1, 2, 1, 2, 1, 1, 2, 3, 3, 6, 2, 6, 2, 2, 2, 2, 2, 6, 6, 1, 6, 6, 6, 6, 1, 2, 3, 6, 2, 6, 1, 6, 2]
62	[6, 3, 2, 1, 2, 2, 6, 2, 2, 2, 1, 6, 6, 6, 6, 2, 1, 6, 4, 1, 1, 6, 2, 1, 2, 1, 1, 1, 4, 2, 2, 6, 2, 3, 6, 6, 6, 1, 2, 6, 1, 3, 2, 2, 2, 2, 1, 3, 1, 2, 1, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 2, 2, 2, 2, 2, 6, 2, 1, 2, 2, 2, 2, 6, 6, 1, 1, 2, 1, 1, 2, 1, 2, 1, 6, 2, 1, 2, 3, 1, 2, 6, 4, 3, 6, 3, 6, 6]
63	[6, 6, 3, 6, 6, 6, 2, 1, 1, 6, 6, 1, 6, 6, 6, 6, 6, 6, 5, 2, 4, 6, 2, 2, 6, 3, 1, 1, 2, 6, 1, 4, 2, 2, 2, 3, 2, 2, 2, 6, 2, 2, 6, 2, 2, 3, 3, 6, 1, 3, 1, 6, 2, 6, 2, 6, 3, 6, 6, 6, 2, 2, 6, 1, 2, 3, 3, 1, 2, 2, 3, 2, 2, 1, 2, 2, 3, 2, 3, 3, 3, 2, 6, 2, 6, 2, 2, 3, 6, 2, 3, 2, 2, 6, 2, 6, 4, 6, 2, 1]
64	[2, 2, 3, 1, 4, 2, 2, 1, 6, 3, 3, 6, 1, 6, 2, 2, 2, 1, 6, 6, 6, 5, 2, 2, 3, 3, 2, 6, 1, 1, 1, 1, 6, 2, 6, 6, 6, 6, 2, 2, 2, 3, 2, 2, 2, 6, 6, 2, 2, 2, 2, 2, 1, 3, 6, 2, 2, 3, 2, 6, 2, 1, 2, 2, 6, 6, 6, 2, 6, 2, 6, 1, 1, 1, 1, 1, 4, 6, 6, 6, 6, 1, 6, 5, 3, 2, 2, 2, 1, 2, 2, 1, 1, 2, 4, 3, 3, 3, 3, 6]
65	[3, 2, 3, 3, 2, 4, 2, 2, 6, 6, 6, 6, 6, 1, 6, 3, 6, 6, 2, 2, 3, 1, 6, 6, 2, 2, 1, 1, 3, 6, 6, 6, 4, 6, 3, 4, 6, 6, 2, 2, 1, 3, 6, 6, 6, 6, 1, 4, 2, 2, 6, 1, 4, 6, 1, 6, 6, 1, 6, 2, 4, 2, 2, 2, 6, 3, 2, 1, 3, 2, 6, 6, 1, 1, 1, 4, 2, 6, 6, 1, 2, 1, 6, 3, 1, 1, 6, 6, 5, 2, 6, 6, 2, 6, 4, 1, 6, 6, 6, 6]
66	[1, 2, 6, 6, 2, 2, 6, 2, 6, 2, 6, 6, 6, 2, 6, 1, 2, 2, 1, 2, 2, 2, 2, 6, 4, 6, 6, 2, 2, 6, 6, 5, 6, 2, 2, 6, 2, 6, 2, 1, 6, 2, 6, 6, 3, 4, 2, 2, 2, 2, 2, 6, 2, 6, 1, 1, 1, 6, 2, 1, 5, 6, 6, 6, 2, 3, 1, 6, 6, 2, 6, 3, 2, 4, 2, 2, 6, 6, 1, 3, 2, 6, 4, 2, 3, 2, 6, 6, 6, 6, 6, 6, 1, 3, 4, 2, 6, 2, 6, 6]
67	[6, 6, 2, 2, 6, 1, 1, 6, 2, 6, 2, 3, 5, 6, 1, 1, 1, 2, 6, 1, 2, 6, 1, 6, 6, 2, 3, 6, 1, 6, 4, 3, 2, 2, 2, 2, 2, 2, 6, 2, 3, 2, 1, 6, 1, 1, 6, 3, 1, 2, 2, 1, 6, 6, 6, 3, 3, 2, 1, 1, 6, 6, 2, 2, 2, 6, 6, 6, 6, 6, 3, 1, 1, 4, 6, 1, 1, 2, 1, 5, 1, 1, 2, 1, 1, 1, 1, 1, 6, 4, 1, 1, 1, 3, 2, 2, 4, 6, 3, 3]
68	[1, 1, 4, 1, 3, 2, 2, 1, 6, 2, 2, 2, 3, 3, 1, 6, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 6, 6, 2, 3, 2, 6, 2, 4, 3, 2, 2, 6, 2, 6, 2, 6, 2, 2, 1, 4, 2, 2, 6, 2, 2, 1, 6, 1, 6, 6, 2, 3, 1, 2, 5, 2, 3, 2, 4, 2, 2, 6, 3, 2, 1, 1, 6, 1, 6, 2, 6, 2, 2, 2, 2, 2, 3, 6, 6, 2, 2, 6, 1, 2, 2, 6, 1, 2, 6, 2, 2, 6, 6]
69	[1, 1, 1, 1, 3, 3, 2, 3, 3, 2, 2, 3, 6, 2, 6, 2, 3, 6, 6, 1, 1, 6, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 6, 1, 5, 2, 6, 2, 6, 1, 3, 3, 2, 6, 2, 1, 1, 1, 6, 1, 6, 3, 3, 2, 6, 2, 1, 2, 6, 5, 1, 1, 1, 2, 2, 2, 2, 3, 2, 2, 1, 2, 3, 3, 2, 2, 1, 1, 2, 6, 3, 3, 3, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 6, 2, 6, 2, 2]
70	[1, 1, 2, 1, 6, 2, 2, 3, 6, 1, 2, 1, 2, 2, 6, 6, 1, 6, 2, 3, 1, 6, 2, 3, 6, 2, 2, 1, 6, 6, 6, 6, 3, 3, 3, 6, 3, 3, 3, 6, 4, 1, 3, 3, 2, 3, 2, 6, 6, 6, 1, 3, 6, 6, 6, 6, 4, 2, 6, 1, 3, 3, 6, 3, 2, 3, 1, 4, 2, 6, 4, 2, 1, 6, 2, 2, 6, 2, 1, 2, 2, 2, 3, 1, 1, 6, 3, 3, 2, 2, 1, 1, 1, 3, 6, 1, 6, 3, 6, 6]
71	[1, 5, 3, 3, 2, 2, 5, 1, 6, 2, 1, 2, 3, 2, 1, 5, 1, 1, 3, 2, 1, 1, 1, 6, 2, 2, 3, 1, 1, 1, 6, 2, 6, 3, 6, 6, 1, 1, 1, 6, 3, 6, 1, 2, 3, 3, 1, 3, 3, 2, 3, 1, 6, 6, 6, 1, 3, 2, 2, 2, 1, 2, 2, 1, 3, 3, 1, 2, 1, 1, 6, 3, 1, 6, 1, 1, 2, 3, 6, 2, 1, 6, 6, 6, 2, 2, 2, 1, 1, 3, 2, 3, 2, 2, 6, 1, 2, 1, 2, 3]
72	[6, 6, 1, 1, 4, 4, 3, 6, 6, 1, 1, 1, 2, 6, 2, 2, 2, 2, 6, 2, 1, 1, 2, 6, 2, 6, 2, 2, 6, 2, 3, 6, 3, 1, 6, 1, 1, 2, 1, 1, 6, 2, 6, 3, 6, 1, 1, 4, 2, 3, 6, 1, 2, 1, 1, 1, 1, 3, 2, 6, 6, 6, 6, 3, 3, 6, 1, 6, 1, 6, 6, 2, 4, 2, 2, 6, 6, 1, 1, 3, 6, 1, 2, 6, 3, 6, 1, 6, 2, 2, 1, 6, 1, 5, 2, 1, 3, 1, 2, 2]
73	[1, 1, 1, 1, 2, 6, 6, 6, 1, 1, 3, 3, 3, 4, 6, 4, 6, 2, 3, 6, 1, 1, 2, 1, 2, 3, 1, 6, 1, 1, 3, 3, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 5, 2, 3, 1, 1, 6, 2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 5, 1, 2, 2, 2, 2, 2, 2, 5, 2, 4, 1, 2, 2, 1, 1, 1, 2, 6, 1, 1, 1, 3, 1, 1, 1, 1, 1, 6, 6, 2, 3, 3, 3, 6, 6]
74	[1, 3, 4, 6, 6, 6, 3, 6, 1, 6, 2, 2, 6, 2, 2, 1, 2, 2, 6, 2, 1, 2, 5, 6, 1, 3, 6, 3, 6, 3, 6, 2, 1, 3, 6, 6, 4, 1, 3, 1, 2, 2, 3, 2, 4, 6, 2, 4, 2, 2, 2, 1, 1, 6, 6, 2, 3, 3, 1, 1, 1, 4, 2, 1, 6, 6, 1, 6, 1, 4, 6, 6, 1, 2, 2, 3, 1, 1, 1, 1, 2, 3, 2, 1, 6, 2, 6, 2, 1, 3, 2, 6, 3, 1, 3, 1, 1, 2, 6, 3]
75	[6, 2, 2, 1, 1, 2, 2, 6, 3, 1, 6, 6, 6, 4, 6, 1, 5, 1, 1, 6, 3, 6, 6, 5, 6, 2, 2, 3, 1, 6, 2, 6, 2, 2, 6, 3, 2, 2, 6, 6, 1, 1, 6, 6, 1, 2, 2, 1, 3, 6, 6, 6, 2, 1, 3, 2, 2, 6, 1, 6, 3, 6, 1, 2, 2, 2, 2, 3, 6, 2, 3, 1, 2, 3, 1, 2, 6, 6, 6, 2, 1, 2, 1, 6, 2, 2, 1, 6, 3, 4, 2, 3, 1, 3, 3, 3, 5, 6, 2, 5]
76	[2, 2, 1, 2, 3, 2, 6, 2, 3, 1, 6, 2, 2, 2, 2, 2, 3, 2, 6, 2, 6, 2, 3, 2, 2, 2, 2, 6, 1, 6, 3, 3, 6, 6, 2, 6, 6, 2, 3, 1, 2, 2, 1, 3, 1, 2, 3, 6, 2, 6, 6, 6, 3, 2, 3, 2, 6, 6, 1, 2, 6, 2, 2, 2, 1, 4, 2, 6, 2, 1, 2, 2, 1, 2, 2, 2, 2, 6, 1, 2, 2, 4, 4, 1, 5, 1, 2, 1, 2, 6, 6, 3, 3, 2, 2, 6, 1, 6, 6, 3]
77	[6, 2, 2, 2, 3, 3, 6, 1, 6, 2, 2, 2, 1, 2, 2, 3, 6, 2, 6, 2, 2, 1, 6, 6, 6, 3, 6, 2, 2, 2, 3, 3, 3, 2, 2, 6, 6, 6, 1, 6, 2, 6, 6, 6, 6, 6, 6, 1, 1, 2, 1, 3, 1, 3, 2, 6, 3, 4, 1, 2, 5, 2, 1, 3, 2, 2, 2, 4, 1, 6, 2, 2, 3, 6, 2, 1, 2, 2, 3, 1, 2, 6, 6, 2, 2, 2, 1, 2, 2, 2, 6, 2, 6, 6, 1, 2, 1, 2, 6, 6]
78	[6, 6, 6, 2, 1, 1, 6, 2, 6, 1, 3, 2, 5, 1, 1, 6, 6, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 4, 6, 2, 2, 2, 6, 2, 2, 2, 1, 1, 3, 1, 3, 4, 6, 2, 4, 6, 1, 1, 1, 6, 3, 2, 6, 5, 2, 2, 6, 2, 3, 2, 3, 6, 6, 6, 1, 6, 2, 2, 1, 1, 4, 6, 6, 6, 6, 1, 1, 1, 1, 4, 6, 6, 1, 2, 1, 6, 1, 6, 3, 5, 2, 6, 2, 3, 2, 2, 5, 6]
79	[6, 2, 1, 2, 2, 2, 2, 2, 1, 1, 6, 6, 1, 3, 1, 1, 1, 2, 6, 1, 4, 3, 6, 1, 2, 2, 2, 4, 1, 3, 6, 3, 2, 1, 2, 6, 2, 2, 6, 2, 1, 6, 6, 1, 3, 5, 1, 6, 6, 2, 2, 2, 3, 3, 6, 6, 3, 6, 5, 1, 2, 3, 6, 6, 1, 4, 6, 6, 1, 1, 1, 1, 1, 1, 1, 2, 4, 3, 1, 3, 1, 6, 2, 1, 1, 1, 3, 6, 3, 1, 2, 2, 6, 2, 2, 1, 1, 6, 1, 2]
80	[2, 6, 2, 5, 1, 3, 4, 6, 2, 6, 3, 4, 2, 2, 2, 3, 3, 1, 1, 3, 6, 6, 6, 3, 6, 2, 1, 1, 2, 6, 2, 6, 5, 2, 1, 6, 1, 3, 1, 2, 1, 2, 3, 3, 5, 2, 2, 1, 6, 4, 1, 3, 2, 1, 6, 6, 6, 2, 2, 2, 1, 2, 3, 2, 3, 2, 1, 3, 1, 1, 6, 3, 2, 1, 6, 2, 3, 3, 2, 3, 1, 3, 3, 5, 3, 2, 3, 2, 6, 6, 6, 3, 5, 3, 1, 1, 1, 6, 1, 1]
81	[3, 3, 2, 6, 2, 6, 2, 1, 1, 2, 3, 3, 3, 2, 4, 3, 5, 6, 2, 6, 1, 2, 6, 2, 2, 6, 1, 1, 6, 6, 6, 6, 3, 6, 6, 6, 6, 3, 6, 2, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 1, 6, 6, 6, 6, 2, 6, 2, 1, 2, 6, 3, 6, 6, 2, 6, 6, 6, 6, 6, 3, 6, 6, 6, 2, 6, 2, 6, 4, 2, 4, 6, 3, 6, 6, 2, 6, 6, 2, 6, 6, 2, 3, 6, 6, 6, 1]
82	[1, 3, 6, 6, 6, 3, 2, 6, 6, 6, 3, 6, 6, 6, 1, 1, 6, 6, 6, 6, 6, 6, 6, 4, 6, 1, 6, 6, 1, 5, 6, 6, 3, 2, 2, 2, 3, 6, 1, 1, 5, 2, 6, 6, 2, 2, 6, 2, 2, 4, 3, 6, 6, 6, 3, 6, 6, 6, 5, 6, 2, 6, 6, 2, 3, 6, 3, 3, 1, 3, 4, 3, 1, 2, 6, 2, 2, 2, 5, 2, 6, 5, 6, 3, 3, 1, 3, 6, 3, 6, 3, 2, 4, 4, 2, 2, 3, 6, 5, 1]
83	[1, 2, 6, 1, 2, 2, 6, 4, 6, 6, 2, 2, 6, 3, 3, 2, 1, 6, 2, 6, 1, 1, 2, 6, 4, 2, 6, 2, 2, 6, 1, 2, 1, 6, 1, 5, 2, 2, 1, 2, 1, 2, 5, 6, 2, 2, 1, 3, 2, 2, 2, 3, 4, 1, 2, 1, 2, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 5, 4, 1, 2, 6, 1, 4, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 6, 6, 2, 6, 1, 1, 1, 6, 6]
84	[6, 6, 2, 2, 6, 2, 6, 6, 1, 1, 3, 4, 6, 1, 6, 2, 6, 2, 2, 6, 6, 1, 2, 3, 1, 1, 2, 1, 2, 1, 2, 2, 6, 3, 1, 1, 1, 1, 6, 6, 2, 1, 6, 6, 6, 3, 1, 1, 3, 1, 1, 1, 1, 2, 3, 2, 6, 2, 6, 1, 3, 2, 2, 6, 3, 5, 6, 1, 2, 6, 1, 2, 2, 1, 1, 1, 3, 1, 6, 2, 6, 6, 2, 2, 6, 2, 6, 2, 6, 2, 2, 3, 3, 1, 6, 2, 2, 3, 4, 6]
85	[2, 3, 6, 6, 2, 3, 3, 2, 2, 1, 6, 4, 1, 6, 1, 2, 2, 4, 6, 2, 2, 6, 3, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 4, 6, 2, 1, 3, 6, 1, 5, 6, 4, 2, 2, 4, 3, 3, 6, 2, 6, 3, 6, 1, 2, 6, 1, 2, 1, 6, 6, 3, 3, 6, 3, 2, 2, 1, 3, 1, 6, 1, 2, 3, 3, 3, 4, 1, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 2, 1, 3, 2, 6, 6]
86	[2, 6, 2, 6, 6, 3, 6, 2, 2, 2, 2, 6, 2, 1, 6, 3, 6, 2, 1, 6, 6, 2, 2, 6, 6, 6, 6, 6, 2, 3, 6, 1, 3, 2, 2, 3, 2, 2, 6, 2, 3, 6, 1, 3, 3, 2, 2, 3, 2, 3, 2, 3, 6, 2, 1, 1, 1, 1, 2, 1, 1, 6, 5, 1, 1, 3, 3, 2, 1, 1, 2, 3, 2, 6, 2, 6, 2, 6, 2, 6, 4, 3, 6, 6, 1, 6, 6, 2, 6, 2, 6, 6, 6, 6, 6, 6, 6, 2, 4, 6]
87	[1, 1, 6, 6, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 3, 2, 2, 2, 1, 1, 6, 5, 5, 2, 3, 2, 6, 2, 6, 2, 2, 2, 1, 1, 2, 1, 2, 3, 1, 6, 3, 6, 1, 6, 5, 1, 3, 2, 2, 6, 6, 3, 2, 2, 2, 2, 3, 2, 2, 1, 1, 2, 3, 4, 1, 6, 6, 3, 1, 2, 1, 1, 1, 6, 1, 1, 4, 1, 6, 1, 2, 2, 1, 1, 2, 1, 3, 2, 2, 1, 1, 6, 6, 6, 3, 3, 1, 6, 6, 1]
88	[3, 6, 1, 6, 2, 2, 6, 6, 2, 6, 6, 3, 1, 1, 1, 1, 1, 2, 2, 4, 6, 4, 2, 6, 1, 6, 6, 5, 6, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 3, 1, 1, 1, 6, 1, 1, 1, 1, 3, 1, 1, 2, 2, 2, 2, 5, 3, 1, 2, 1, 1, 1, 2, 1, 1, 1, 6, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 6, 2, 2, 6, 6, 1, 2, 2, 2, 2, 1, 1, 2, 1, 3, 2, 1, 1, 1, 2, 6]
89	[6, 2, 2, 3, 6, 2, 2, 6, 2, 3, 6, 2, 2, 2, 2, 1, 2, 1, 3, 6, 2, 6, 1, 1, 3, 2, 3, 1, 2, 6, 6, 3, 1, 2, 2, 1, 1, 2, 2, 2, 1, 3, 2, 2, 2, 6, 1, 2, 1, 1, 6, 2, 2, 2, 2, 1, 2, 6, 1, 6, 2, 3, 1, 1, 6, 1, 2, 2, 1, 1, 6, 3, 1, 1, 2, 6, 2, 6, 1, 1, 1, 1, 1, 1, 1, 6, 2, 6, 1, 6, 6, 1, 4, 3, 6, 1, 2, 1, 6, 6]
90	[6, 2, 3, 6, 6, 6, 6, 6, 2, 6, 3, 6, 2, 2, 6, 6, 3, 2, 2, 1, 1, 2, 3, 1, 3, 6, 3, 1, 2, 2, 2, 2, 3, 1, 3, 2, 6, 2, 6, 3, 6, 1, 1, 2, 6, 2, 1, 6, 2, 2, 2, 2, 2, 1, 1, 6, 2, 1, 1, 2, 6, 2, 3, 3, 2, 2, 2, 3, 2, 1, 2, 2, 6, 6, 1, 6, 3, 2, 3, 6, 2, 3, 2, 3, 6, 2, 1, 6, 6, 6, 6, 6, 3, 2, 3, 2, 3, 2, 6, 6]
91	[1, 6, 1, 1, 6, 2, 6, 2, 2, 4, 2, 6, 6, 4, 1, 6, 6, 1, 2, 3, 1, 3, 1, 1, 1, 5, 1, 1, 2, 3, 1, 3, 6, 1, 1, 1, 1, 1, 1, 6, 2, 2, 6, 1, 6, 2, 2, 2, 4, 1, 2, 6, 1, 1, 1, 6, 3, 4, 1, 3, 6, 1, 1, 1, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 4, 3, 1, 6, 1, 1, 4, 3, 2, 2]
